Metric,Value
n_valid,76.0
n_NaN,-77.0
RMSE_gL,0.07853263625334952
MAE_gL,0.05596640579870448
Bias_gL,0.038119130965625005
Pearson_r,-0.041075311008062526
Pearson_r_pvalue,0.7246130260836815
Pe_mean,66023.84298245613
Pe_median,58736.99999999999
Pe_max,157613.86666666667
Pct_Pe_gt2,100.0
D_eff_ratio_mean,31685.240624999995
D_eff_ratio_median,29368.499999999996
D_eff_ratio_max,78806.93333333333
Pct_Deff_gt1000x,100.0
D_phys_m2s,1.5e-05
Threshold_gL,0.08
TP,3.0
FN,18.0
TN,47.0
FP,8.0
Sensitivity,0.14285714285714285
Specificity,0.8545454545454545
F1,0.1875
Accuracy,0.6578947368421053
